,Network,WroRate,Method,Metric,Value
404,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.6666666666666666
405,PROPERTY,2,PCstable$^{\triangledown}$,SHD,22
406,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.4090909090909091
407,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.2857142857142857
408,PROPERTY,2,PCstable$^{\triangledown}$,SHD,23
409,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.4186046511627908
410,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.6666666666666666
411,PROPERTY,2,PCstable$^{\triangledown}$,SHD,24
412,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.3181818181818182
413,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.5
414,PROPERTY,2,PCstable$^{\triangledown}$,SHD,27
415,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.24390243902439024
416,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.5
417,PROPERTY,2,PCstable$^{\triangledown}$,SHD,27
418,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.18604651162790697
419,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.2222222222222222
420,PROPERTY,2,GES$^{\triangledown}$,SHD,29
421,PROPERTY,2,GES$^{\triangledown}$,F1,0.16666666666666666
422,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.6
423,PROPERTY,2,GES$^{\triangledown}$,SHD,29
424,PROPERTY,2,GES$^{\triangledown}$,F1,0.12121212121212122
425,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.2857142857142857
426,PROPERTY,2,GES$^{\triangledown}$,SHD,26
427,PROPERTY,2,GES$^{\triangledown}$,F1,0.27027027027027023
428,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.7272727272727272
429,PROPERTY,2,GES$^{\triangledown}$,SHD,36
430,PROPERTY,2,GES$^{\triangledown}$,F1,0.28
431,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.5
432,PROPERTY,2,GES$^{\triangledown}$,SHD,29
433,PROPERTY,2,GES$^{\triangledown}$,F1,0.2105263157894737
434,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.5
435,PROPERTY,2,GES$^{\triangledown}$,SHD,28
436,PROPERTY,2,GES$^{\triangledown}$,F1,0.2222222222222222
437,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.6
438,PROPERTY,2,GES$^{\triangledown}$,SHD,27
439,PROPERTY,2,GES$^{\triangledown}$,F1,0.2285714285714286
440,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.6666666666666666
441,PROPERTY,2,GES$^{\triangledown}$,SHD,30
442,PROPERTY,2,GES$^{\triangledown}$,F1,0.1142857142857143
443,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.2222222222222222
444,PROPERTY,2,GES$^{\triangledown}$,SHD,29
445,PROPERTY,2,GES$^{\triangledown}$,F1,0.16666666666666666
446,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.6
447,PROPERTY,2,GES$^{\triangledown}$,SHD,29
448,PROPERTY,2,GES$^{\triangledown}$,F1,0.1142857142857143
449,PROPERTY,2,GES$^{\triangledown}$,F1$^c$,0.2222222222222222
450,PROPERTY,2,MAHC$^{\triangledown}$,SHD,25
451,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.35555555555555557
452,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.6
453,PROPERTY,2,MAHC$^{\triangledown}$,SHD,25
454,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.3913043478260869
455,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.2857142857142857
456,PROPERTY,2,MAHC$^{\triangledown}$,SHD,26
457,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.3913043478260869
458,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.8
459,PROPERTY,2,MAHC$^{\triangledown}$,SHD,25
460,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.34782608695652173
461,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.2857142857142857
462,PROPERTY,2,MAHC$^{\triangledown}$,SHD,27
463,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.34782608695652173
464,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.6
465,PROPERTY,2,MAHC$^{\triangledown}$,SHD,24
466,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.425531914893617
467,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.4444444444444444
468,PROPERTY,2,MAHC$^{\triangledown}$,SHD,21
469,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.5
470,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.6666666666666666
471,PROPERTY,2,MAHC$^{\triangledown}$,SHD,24
472,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.35555555555555557
473,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.25
474,PROPERTY,2,MAHC$^{\triangledown}$,SHD,24
475,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.36363636363636365
476,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.6666666666666666
477,PROPERTY,2,MAHC$^{\triangledown}$,SHD,27
478,PROPERTY,2,MAHC$^{\triangledown}$,F1,0.2978723404255319
479,PROPERTY,2,MAHC$^{\triangledown}$,F1$^c$,0.25
