,Network,WroRate,Method,Metric,Value
91,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.1411764705882353
92,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.23529411764705882
93,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,59
94,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.2727272727272727
95,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.4210526315789473
96,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,67
97,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.20224719101123595
98,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.4
99,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,61
100,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.25287356321839083
101,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.23529411764705882
102,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,70
103,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.1739130434782609
104,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.3333333333333333
105,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,54
106,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.3448275862068966
107,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.6
108,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,65
109,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.1839080459770115
110,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.3333333333333333
111,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,63
112,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.18823529411764706
113,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.4444444444444445
114,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,65
115,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.1818181818181818
116,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.25
117,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,63
118,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.1839080459770115
119,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.13333333333333333
120,DIARRHOEA,2,UpCM,SHD,62
121,DIARRHOEA,2,UpCM,F1,0.22988505747126434
122,DIARRHOEA,2,UpCM,F1$^c$,0.6153846153846153
123,DIARRHOEA,2,UpCM,SHD,64
124,DIARRHOEA,2,UpCM,F1,0.26373626373626374
125,DIARRHOEA,2,UpCM,F1$^c$,0.4444444444444445
126,DIARRHOEA,2,UpCM,SHD,71
127,DIARRHOEA,2,UpCM,F1,0.18367346938775508
128,DIARRHOEA,2,UpCM,F1$^c$,0.5
129,DIARRHOEA,2,UpCM,SHD,61
130,DIARRHOEA,2,UpCM,F1,0.3043478260869565
131,DIARRHOEA,2,UpCM,F1$^c$,0.4827586206896552
132,DIARRHOEA,2,UpCM,SHD,65
133,DIARRHOEA,2,UpCM,F1,0.28
134,DIARRHOEA,2,UpCM,F1$^c$,0.5945945945945946
135,DIARRHOEA,2,UpCM,SHD,66
136,DIARRHOEA,2,UpCM,F1,0.22988505747126434
137,DIARRHOEA,2,UpCM,F1$^c$,0.4615384615384615
138,DIARRHOEA,2,UpCM,SHD,66
139,DIARRHOEA,2,UpCM,F1,0.24742268041237114
140,DIARRHOEA,2,UpCM,F1$^c$,0.5714285714285714
141,DIARRHOEA,2,UpCM,SHD,65
142,DIARRHOEA,2,UpCM,F1,0.26
143,DIARRHOEA,2,UpCM,F1$^c$,0.6285714285714286
144,DIARRHOEA,2,UpCM,SHD,68
145,DIARRHOEA,2,UpCM,F1,0.25742574257425743
146,DIARRHOEA,2,UpCM,F1$^c$,0.631578947368421
147,DIARRHOEA,2,UpCM,SHD,61
148,DIARRHOEA,2,UpCM,F1,0.29473684210526313
149,DIARRHOEA,2,UpCM,F1$^c$,0.6666666666666666
150,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,65
151,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.07792207792207792
152,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.35294117647058826
153,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,62
154,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.2
155,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.25
156,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,67
157,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.09638554216867469
158,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.25
159,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,64
160,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.12658227848101267
161,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.125
162,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,65
163,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.075
164,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.13333333333333333
165,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,66
166,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.12820512820512822
167,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.22222222222222224
168,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,66
169,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.05128205128205128
170,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.125
171,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,66
172,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.05
173,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.13333333333333333
174,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,65
175,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.1234567901234568
176,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.4444444444444445
177,DIARRHOEA,2,PCstable$^{\triangledown}$,SHD,67
178,DIARRHOEA,2,PCstable$^{\triangledown}$,F1,0.05
179,DIARRHOEA,2,PCstable$^{\triangledown}$,F1$^c$,0.125
180,DIARRHOEA,2,GES$^{\triangledown}$,SHD,62
181,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.1621621621621622
182,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.5263157894736842
183,DIARRHOEA,2,GES$^{\triangledown}$,SHD,66
184,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.08333333333333334
185,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.35294117647058826
186,DIARRHOEA,2,GES$^{\triangledown}$,SHD,64
187,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.13513513513513514
188,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.4210526315789473
189,DIARRHOEA,2,GES$^{\triangledown}$,SHD,65
190,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.0810810810810811
191,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.21052631578947364
192,DIARRHOEA,2,GES$^{\triangledown}$,SHD,64
193,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.13513513513513514
194,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.4210526315789473
195,DIARRHOEA,2,GES$^{\triangledown}$,SHD,64
196,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.13157894736842107
197,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.4761904761904762
198,DIARRHOEA,2,GES$^{\triangledown}$,SHD,67
199,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.028571428571428574
200,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.13333333333333333
201,DIARRHOEA,2,GES$^{\triangledown}$,SHD,64
202,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.13513513513513514
203,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.4210526315789473
204,DIARRHOEA,2,GES$^{\triangledown}$,SHD,61
205,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.18666666666666665
206,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.6
207,DIARRHOEA,2,GES$^{\triangledown}$,SHD,64
208,DIARRHOEA,2,GES$^{\triangledown}$,F1,0.10810810810810811
209,DIARRHOEA,2,GES$^{\triangledown}$,F1$^c$,0.4210526315789473
210,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,64
211,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.1686746987951807
212,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.25
213,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,69
214,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.13953488372093023
215,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.25
216,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,59
217,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.2558139534883721
218,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.3333333333333333
219,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,66
220,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.16666666666666669
221,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.22222222222222224
222,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,65
223,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.1627906976744186
224,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.4210526315789473
225,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,67
226,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.2247191011235955
227,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.4761904761904762
228,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,66
229,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.14457831325301207
230,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.0
231,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,64
232,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.20930232558139536
233,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.4210526315789473
234,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,64
235,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.22988505747126434
236,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.6
237,DIARRHOEA,2,MAHC$^{\triangledown}$,SHD,60
238,DIARRHOEA,2,MAHC$^{\triangledown}$,F1,0.22988505747126434
239,DIARRHOEA,2,MAHC$^{\triangledown}$,F1$^c$,0.4444444444444445
240,PROPERTY,1,UpCM,SHD,20
241,PROPERTY,1,UpCM,F1,0.47826086956521735
242,PROPERTY,1,UpCM,F1$^c$,0.8
243,PROPERTY,1,UpCM,SHD,22
244,PROPERTY,1,UpCM,F1,0.4583333333333333
245,PROPERTY,1,UpCM,F1$^c$,0.923076923076923
246,PROPERTY,1,UpCM,SHD,24
247,PROPERTY,1,UpCM,F1,0.3333333333333333
248,PROPERTY,1,UpCM,F1$^c$,0.7272727272727272
249,PROPERTY,1,UpCM,SHD,19
250,PROPERTY,1,UpCM,F1,0.5306122448979592
251,PROPERTY,1,UpCM,F1$^c$,0.8333333333333334
252,PROPERTY,1,UpCM,SHD,21
253,PROPERTY,1,UpCM,F1,0.425531914893617
254,PROPERTY,1,UpCM,F1$^c$,0.9090909090909091
255,PROPERTY,1,UpCM,SHD,23
256,PROPERTY,1,UpCM,F1,0.3913043478260869
257,PROPERTY,1,UpCM,F1$^c$,0.8333333333333334
258,PROPERTY,1,UpCM,SHD,26
259,PROPERTY,1,UpCM,F1,0.27906976744186046
260,PROPERTY,1,UpCM,F1$^c$,0.25
261,PROPERTY,1,UpCM,SHD,23
262,PROPERTY,1,UpCM,F1,0.44000000000000006
263,PROPERTY,1,UpCM,F1$^c$,0.8571428571428571
264,PROPERTY,1,UpCM,SHD,22
265,PROPERTY,1,UpCM,F1,0.3913043478260869
266,PROPERTY,1,UpCM,F1$^c$,0.9090909090909091
267,PROPERTY,1,UpCM,SHD,23
268,PROPERTY,1,UpCM,F1,0.375
269,PROPERTY,1,UpCM,F1$^c$,0.9090909090909091
270,PROPERTY,1,PCstable$^{\triangledown}$,SHD,21
271,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.45454545454545453
272,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.5
273,PROPERTY,1,PCstable$^{\triangledown}$,SHD,24
274,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.37209302325581395
275,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.5
276,PROPERTY,1,PCstable$^{\triangledown}$,SHD,26
277,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.2325581395348837
278,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.2857142857142857
