,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,SPORTS,pcMy,100,0.1,1,-1322.6565938459082,11,4,3,54,11,0.5714285714285714,0.26666666666666666,0.36363636363636365,2,1,1,0,0.6666666666666666,1.0,0.8
1,SPORTS,pc_con,100,0.1,1,-1327.523119329813,13,2,3,54,13,0.4,0.13333333333333333,0.2,1,0,2,1,1.0,0.5,0.6666666666666666
2,SPORTS,ges_con,100,0.1,1,-1373.8990898825473,13,2,0,57,13,1.0,0.13333333333333333,0.23529411764705882,1,0,2,1,1.0,0.5,0.6666666666666666
3,SPORTS,mahc_con,100,0.1,1,-1365.4689975716885,13,2,1,56,13,0.6666666666666666,0.13333333333333333,0.2222222222222222,1,0,2,1,1.0,0.5,0.6666666666666666
4,SPORTS,SaiyanH_con,100,0.1,1,-1362.6140345369765,13,3,5,52,12,0.375,0.2,0.26086956521739135,2,2,0,0,0.5,1.0,0.6666666666666666
