,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,SPORTS,pcMy,30,0.2,1,-406.84541960800186,14,1,1,56,14,0.5,0.06666666666666667,0.11764705882352941,1,1,2,2,0.5,0.3333333333333333,0.4
1,SPORTS,pc_con,30,0.2,1,-407.4829446883893,15,0,1,56,15,0.0,0.0,0.0,0,1,2,3,0.0,0.0,0.0
2,SPORTS,ges_con,30,0.2,1,-inf,13,3,3,54,12,0.5,0.2,0.28571428571428575,2,3,0,1,0.4,0.6666666666666666,0.5
3,SPORTS,mahc_con,30,0.2,1,-403.4348799840487,14,1,1,56,14,0.5,0.06666666666666667,0.11764705882352941,0,0,3,3,0.0,0.0,0.0
4,SPORTS,SaiyanH_con,30,0.2,1,-412.11345168823425,14,5,8,49,10,0.38461538461538464,0.3333333333333333,0.3571428571428571,3,2,1,0,0.6,1.0,0.7499999999999999
