,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,SPORTS,pcMy,100,0.5,1,-1303.8327085155522,9,7,2,55,8,0.7777777777777778,0.4666666666666667,0.5833333333333334,4,1,7,4,0.8,0.5,0.6153846153846154
1,SPORTS,pc_con,100,0.5,1,-1326.4170219246826,11,4,1,56,11,0.8,0.26666666666666666,0.4,1,0,8,7,1.0,0.125,0.2222222222222222
2,SPORTS,ges_con,100,0.5,1,-inf,14,9,8,49,6,0.5294117647058824,0.6,0.5625,8,8,0,0,0.5,1.0,0.6666666666666666
3,SPORTS,mahc_con,100,0.5,1,-1363.2771323185539,13,2,1,56,13,0.6666666666666666,0.13333333333333333,0.2222222222222222,1,0,8,7,1.0,0.125,0.2222222222222222
4,SPORTS,SaiyanH_con,100,0.5,1,-inf,13,9,7,50,6,0.5625,0.6,0.5806451612903225,8,7,1,0,0.5333333333333333,1.0,0.6956521739130436
