,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,SPORTS,pcMy,30,0.2,1,-413.9508107094517,14,1,1,56,14,0.5,0.06666666666666667,0.11764705882352941,1,0,3,2,1.0,0.3333333333333333,0.5
1,SPORTS,pc_con,30,0.2,1,-412.7805474522051,15,0,1,56,15,0.0,0.0,0.0,0,0,3,3,0.0,0.0,0.0
2,SPORTS,ges_con,30,0.2,1,-416.34198654319937,15,0,0,57,15,0.0,0.0,0.0,0,0,3,3,0.0,0.0,0.0
3,SPORTS,mahc_con,30,0.2,1,-416.34198654319937,15,0,0,57,15,0.0,0.0,0.0,0,0,3,3,0.0,0.0,0.0
4,SPORTS,SaiyanH_con,30,0.2,1,-422.84162076559545,15,5,5,52,10,0.5,0.3333333333333333,0.4,3,3,0,0,0.5,1.0,0.6666666666666666
