,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,ALARM,MOEAD_CD,50,0.2,1,7,44,6,8,1278,40,0.42857142857142855,0.13043478260869565,0.2,2,2,7,7,0.5,0.2222222222222222,0.30769230769230765
1,ALARM,pc,50,0.2,1,7,44,4,6,1280,42,0.4,0.08695652173913043,0.14285714285714285,1,0,9,8,1.0,0.1111111111111111,0.19999999999999998
2,ALARM,pc_con,50,0.2,1,7,44,4,6,1280,42,0.4,0.08695652173913043,0.14285714285714285,1,0,9,8,1.0,0.1111111111111111,0.19999999999999998
