,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,ALARM,pcMy,100,0.2,1,-2370.484807551853,30,21,10,1276,25,0.6774193548387096,0.45652173913043476,0.5454545454545454,9,5,4,0,0.6428571428571429,1.0,0.782608695652174
1,ALARM,pc_con,100,0.2,1,-2487.614365687283,33,14,7,1279,32,0.6666666666666666,0.30434782608695654,0.41791044776119407,3,0,9,6,1.0,0.3333333333333333,0.5
2,ALARM,ges_con,100,0.2,1,-2341.403954666736,38,13,15,1271,33,0.4642857142857143,0.2826086956521739,0.35135135135135126,1,0,9,8,1.0,0.1111111111111111,0.19999999999999998
3,ALARM,mahc_con,100,0.2,1,-2367.5196832647653,38,12,15,1271,34,0.4444444444444444,0.2608695652173913,0.32876712328767116,3,1,8,6,0.75,0.3333333333333333,0.46153846153846156
4,ALARM,SaiyanH_con,100,0.2,1,-inf,52,20,37,1249,26,0.3508771929824561,0.43478260869565216,0.3883495145631068,7,9,0,2,0.4375,0.7777777777777778,0.56
