,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,ALARM,pcMy,30,0.2,1,-687.1446698789075,43,8,8,1278,38,0.5,0.17391304347826086,0.25806451612903225,5,4,5,4,0.5555555555555556,0.5555555555555556,0.5555555555555556
1,ALARM,pc_con,30,0.2,1,-708.3148198767195,43,4,5,1281,42,0.4444444444444444,0.08695652173913043,0.14545454545454548,2,0,9,7,1.0,0.2222222222222222,0.3636363636363636
2,ALARM,ges_con,30,0.2,1,-666.4625132836371,37,14,6,1280,32,0.7,0.30434782608695654,0.42424242424242425,6,1,8,3,0.8571428571428571,0.6666666666666666,0.75
3,ALARM,mahc_con,30,0.2,1,-670.7475330053331,38,12,8,1278,34,0.6,0.2608695652173913,0.36363636363636365,6,1,8,3,0.8571428571428571,0.6666666666666666,0.75
4,ALARM,SaiyanH_con,30,0.2,1,-613.3773109138193,62,13,38,1248,33,0.2549019607843137,0.2826086956521739,0.26804123711340205,6,8,1,3,0.42857142857142855,0.6666666666666666,0.5217391304347826
