,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,ALARM,pcMy,50,0.2,1,-1173.6425379369232,38,13,10,1276,33,0.5652173913043478,0.2826086956521739,0.3768115942028985,7,4,5,2,0.6363636363636364,0.7777777777777778,0.7000000000000001
1,ALARM,pc_con,50,0.2,1,-1222.0820889284244,41,7,7,1279,39,0.5,0.15217391304347827,0.23333333333333334,1,1,8,8,0.5,0.1111111111111111,0.1818181818181818
2,ALARM,ges_con,50,0.2,1,-1294.7401587961388,42,5,2,1284,41,0.7142857142857143,0.10869565217391304,0.18867924528301885,4,2,7,5,0.6666666666666666,0.4444444444444444,0.5333333333333333
3,ALARM,mahc_con,50,0.2,1,-1129.4044548503023,41,12,15,1271,34,0.4444444444444444,0.2608695652173913,0.32876712328767116,4,2,7,5,0.6666666666666666,0.4444444444444444,0.5333333333333333
4,ALARM,SaiyanH_con,50,0.2,1,-1022.3345480268621,59,18,40,1246,28,0.3103448275862069,0.391304347826087,0.34615384615384615,8,7,2,1,0.5333333333333333,0.8888888888888888,0.6666666666666667
