,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1,type,avgnmi,score
0,ALARM,UpCM0,,,,,45,14,17,1269,32,0.45161290322580644,0.30434782608695654,0.3636363636363636,8,8,1,1,0.5,0.8888888888888888,0.64,,3.5878009522567194,-2306.8713091900613
1,ALARM,UpCM1,,,,,44,15,17,1269,31,0.46875,0.32608695652173914,0.38461538461538464,8,8,1,1,0.5,0.8888888888888888,0.64,,3.4154910421341387,-2296.422097494921
2,ALARM,UpCM2,,,,,43,15,16,1270,31,0.4838709677419355,0.32608695652173914,0.38961038961038963,8,7,2,1,0.5333333333333333,0.8888888888888888,0.6666666666666667,,3.389598873622766,-2296.2240062914166
3,ALARM,UpCM3,,,,,44,14,17,1269,32,0.45161290322580644,0.30434782608695654,0.3636363636363636,7,7,2,2,0.5,0.7777777777777778,0.6086956521739131,,2.642669903372538,-2296.224006291416
4,ALARM,pc_con,100.0,0.2,1.0,-2466.0313336249606,42,9,8,1278,37,0.5294117647058824,0.1956521739130435,0.28571428571428575,2,0,9,7,1.0,0.2222222222222222,0.3636363636363636,,,
