,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,ALARM,pcMy,30,0.2,1,-656.0279475117399,45,7,8,1278,39,0.4666666666666667,0.15217391304347827,0.22950819672131148,6,2,7,3,0.75,0.6666666666666666,0.7058823529411765
1,ALARM,pc_con,30,0.2,1,-679.5135494974403,48,2,7,1279,44,0.2222222222222222,0.043478260869565216,0.07272727272727274,2,0,9,7,1.0,0.2222222222222222,0.3636363636363636
2,ALARM,ges_con,30,0.2,1,-700.2670775517663,43,6,3,1283,40,0.6666666666666666,0.13043478260869565,0.21818181818181817,6,3,6,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,ALARM,mahc_con,30,0.2,1,-626.7311510047737,42,11,16,1270,35,0.4074074074074074,0.2391304347826087,0.30136986301369867,4,3,6,5,0.5714285714285714,0.4444444444444444,0.5
4,ALARM,SaiyanH_con,30,0.2,1,-575.2035343978007,65,13,40,1246,33,0.24528301886792453,0.2826086956521739,0.2626262626262626,7,4,5,2,0.6363636363636364,0.7777777777777778,0.7000000000000001
