,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,ALARM,pcMy,30,0.2,1,-661.9092274182545,43,9,12,1274,37,0.42857142857142855,0.1956521739130435,0.26865671641791045,6,4,5,3,0.6,0.6666666666666666,0.631578947368421
1,ALARM,pc_con,30,0.2,1,-680.4277901170879,44,4,7,1279,42,0.36363636363636365,0.08695652173913043,0.14035087719298245,1,0,9,8,1.0,0.1111111111111111,0.19999999999999998
2,ALARM,ges_con,30,0.2,1,-719.4220938949536,43,6,3,1283,40,0.6666666666666666,0.13043478260869565,0.21818181818181817,6,2,7,3,0.75,0.6666666666666666,0.7058823529411765
3,ALARM,mahc_con,30,0.2,1,-647.5824767479404,42,11,13,1273,35,0.4583333333333333,0.2391304347826087,0.3142857142857143,6,2,7,3,0.75,0.6666666666666666,0.7058823529411765
4,ALARM,SaiyanH_con,30,0.2,1,-579.8062339166694,66,8,41,1245,38,0.16326530612244897,0.17391304347826086,0.16842105263157894,5,8,1,4,0.38461538461538464,0.5555555555555556,0.4545454545454546
