,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1,type,avgnmi,score
0,ALARM,UpCM0,,,,,32,21,12,1274,25,0.6363636363636364,0.45652173913043476,0.5316455696202532,9,7,2,0,0.5625,1.0,0.72,,2.8297541994523603,-2364.4044928636554
1,ALARM,pc_con,100.0,0.2,1.0,-2487.614365687283,33,14,7,1279,32,0.6666666666666666,0.30434782608695654,0.41791044776119407,3,0,9,6,1.0,0.3333333333333333,0.5,,,
