,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,ALARM,pcMy,30,0.2,1,-725.4490484532116,40,8,4,1282,38,0.6666666666666666,0.17391304347826086,0.27586206896551724,6,0,9,3,1.0,0.6666666666666666,0.8
1,ALARM,pc_con,30,0.2,1,-737.6640396838676,45,3,4,1282,43,0.42857142857142855,0.06521739130434782,0.11320754716981131,1,0,9,8,1.0,0.1111111111111111,0.19999999999999998
2,ALARM,ges_con,30,0.2,1,-758.2107136701718,40,7,1,1285,39,0.875,0.15217391304347827,0.2592592592592593,6,1,8,3,0.8571428571428571,0.6666666666666666,0.75
3,ALARM,mahc_con,30,0.2,1,-672.4056750083587,36,14,11,1275,32,0.56,0.30434782608695654,0.3943661971830986,5,2,7,4,0.7142857142857143,0.5555555555555556,0.6250000000000001
4,ALARM,SaiyanH_con,30,0.2,1,-603.3962945347508,63,13,40,1246,33,0.24528301886792453,0.2826086956521739,0.2626262626262626,5,7,2,4,0.4166666666666667,0.5555555555555556,0.4761904761904762
