,Network,NumOfData,Method,Metric,Value
84,FORMED,200,UpCM,SHD,111.1
85,FORMED,200,UpCM,F1,0.38818540318004113
86,FORMED,200,UpCM,F1$^c$,0.6463764815481229
87,FORMED,200,PCstable$^{\triangledown}$,SHD,111.6
88,FORMED,200,PCstable$^{\triangledown}$,F1,0.30379422912616877
89,FORMED,200,PCstable$^{\triangledown}$,F1$^c$,0.5115329904803588
90,FORMED,200,GES$^{\triangledown}$,SHD,109.55555555555556
91,FORMED,200,GES$^{\triangledown}$,F1,0.43776883995281185
92,FORMED,200,GES$^{\triangledown}$,F1$^c$,0.7131105677025691
93,FORMED,200,MAHC$^{\triangledown}$,SHD,105.4
94,FORMED,200,MAHC$^{\triangledown}$,F1,0.4156617888783517
95,FORMED,200,MAHC$^{\triangledown}$,F1$^c$,0.6465877868654757
