,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,FORMED,MOEAD_CD,200,0.2,1,8,98,42,18,7500,96,0.7,0.30434782608695654,0.42424242424242425,15,0,28,13,1.0,0.5357142857142857,0.6976744186046512
1,FORMED,pc,200,0.2,1,8,107,33,22,7496,105,0.6,0.2391304347826087,0.34196891191709844,9,0,28,19,1.0,0.32142857142857145,0.4864864864864865
2,FORMED,pc_con,200,0.2,1,8,107,33,22,7496,105,0.6,0.2391304347826087,0.34196891191709844,9,0,28,19,1.0,0.32142857142857145,0.4864864864864865
