ID,Parent,Child,TrueOrFalse
0,KINKEDTUBE,PRESS,true
1,PVSAT,SAO2,true
2,HR,HRBP,true
3,SHUNT,SAO2,true
4,LVEDVOLUME,PCWP,true
5,CO,BP,true
6,ERRLOWOUTPUT,HRBP,true
7,LVFAILURE,LVEDVOLUME,true
8,TPR,CATECHOL,true
9,STROKEVOLUME,HISTORY,false
10,ERRCAUTER,VENTMACH,false
11,VENTTUBE,HRSAT,false
12,EXPCO2,CO,false
13,LVFAILURE,HREKG,false
14,HREKG,CATECHOL,false
15,VENTALV,HRBP,false
16,LVEDVOLUME,PVSAT,false
17,VENTLUNG,STROKEVOLUME,false
