,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,MOEAD_CD,100,0.2,1,5,25,6,7,664,25,0.46153846153846156,0.1935483870967742,0.2727272727272727,3,0,6,3,1.0,0.5,0.6666666666666666
1,PROPERTY,pc,100,0.2,1,5,22,9,5,666,22,0.6428571428571429,0.2903225806451613,0.4,5,0,6,1,1.0,0.8333333333333334,0.9090909090909091
2,PROPERTY,pc_con,100,0.2,1,5,22,9,5,666,22,0.6428571428571429,0.2903225806451613,0.4,5,0,6,1,1.0,0.8333333333333334,0.9090909090909091
