,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,MOEAD_CD,100,0.2,1,8,25,6,6,665,25,0.5,0.1935483870967742,0.27906976744186046,2,0,6,4,1.0,0.3333333333333333,0.5
1,PROPERTY,pc,100,0.2,1,8,24,7,5,666,24,0.5833333333333334,0.22580645161290322,0.3255813953488372,2,0,6,4,1.0,0.3333333333333333,0.5
2,PROPERTY,pc_con,100,0.2,1,8,24,7,5,666,24,0.5833333333333334,0.22580645161290322,0.3255813953488372,2,0,6,4,1.0,0.3333333333333333,0.5
