Source.Name,Column1,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
Results_ALARM_N100_C0.2_W1_5.csv,2,ALARM,ges_con,100,0.2,1,5,46,10,19,1267,36,0.344827586,0.217391304,0.266666667,2,0,9,7,1,0.222222222,0.363636364
Results_ALARM_N100_C0.2_W1_5.csv,3,ALARM,mahc_con,100,0.2,1,5,48,9,21,1265,37,0.3,0.195652174,0.236842105,4,3,6,5,0.571428571,0.444444444,0.5
Results_ALARM_N100_C0.2_W1_5.csv,4,ALARM,SaiyanH_con,100,0.2,1,5,59,14,40,1246,32,0.259259259,0.304347826,0.28,8,4,5,1,0.666666667,0.888888889,0.761904762
Results_ALARM_N100_C0.2_W1_6.csv,0,ALARM,pcMy,100,0.2,1,6,34,14,8,1278,32,0.636363636,0.304347826,0.411764706,6,1,8,3,0.857142857,0.666666667,0.75
Results_ALARM_N100_C0.2_W1_6.csv,1,ALARM,pc_con,100,0.2,1,6,38,9,8,1278,37,0.529411765,0.195652174,0.285714286,2,0,9,7,1,0.222222222,0.363636364
Results_ALARM_N100_C0.2_W1_6.csv,2,ALARM,ges_con,100,0.2,1,6,38,15,16,1270,31,0.483870968,0.326086957,0.38961039,2,0,9,7,1,0.222222222,0.363636364
Results_ALARM_N100_C0.2_W1_6.csv,3,ALARM,mahc_con,100,0.2,1,6,36,15,16,1270,31,0.483870968,0.326086957,0.38961039,4,0,9,5,1,0.444444444,0.615384615
Results_ALARM_N100_C0.2_W1_6.csv,4,ALARM,SaiyanH_con,100,0.2,1,6,29,27,18,1268,19,0.6,0.586956522,0.593406593,6,3,6,3,0.666666667,0.666666667,0.666666667
Results_ALARM_N100_C0.2_W1_7.csv,0,ALARM,pcMy,100,0.2,1,7,39,12,10,1276,34,0.545454545,0.260869565,0.352941176,6,0,9,3,1,0.666666667,0.8
Results_ALARM_N100_C0.2_W1_7.csv,1,ALARM,pc_con,100,0.2,1,7,42,9,8,1278,37,0.529411765,0.195652174,0.285714286,2,0,9,7,1,0.222222222,0.363636364
Results_ALARM_N100_C0.2_W1_7.csv,2,ALARM,ges_con,100,0.2,1,7,36,15,13,1273,31,0.535714286,0.326086957,0.405405405,3,0,9,6,1,0.333333333,0.5
Results_ALARM_N100_C0.2_W1_7.csv,3,ALARM,mahc_con,100,0.2,1,7,36,17,14,1272,29,0.548387097,0.369565217,0.441558442,7,1,8,2,0.875,0.777777778,0.823529412
Results_ALARM_N100_C0.2_W1_7.csv,4,ALARM,SaiyanH_con,100,0.2,1,7,55,20,40,1246,26,0.333333333,0.434782609,0.377358491,6,8,1,3,0.428571429,0.666666667,0.52173913
Results_ALARM_N100_C0.2_W1_8.csv,0,ALARM,pcMy,100,0.2,1,8,38,13,11,1275,33,0.541666667,0.282608696,0.371428571,7,2,7,2,0.777777778,0.777777778,0.777777778
Results_ALARM_N100_C0.2_W1_8.csv,1,ALARM,pc_con,100,0.2,1,8,38,11,10,1276,35,0.523809524,0.239130435,0.328358209,6,0,9,3,1,0.666666667,0.8
Results_ALARM_N100_C0.2_W1_8.csv,2,ALARM,ges_con,100,0.2,1,8,38,14,16,1270,32,0.466666667,0.304347826,0.368421053,4,0,9,5,1,0.444444444,0.615384615
Results_ALARM_N100_C0.2_W1_8.csv,3,ALARM,mahc_con,100,0.2,1,8,38,16,17,1269,30,0.484848485,0.347826087,0.405063291,6,3,6,3,0.666666667,0.666666667,0.666666667
Results_ALARM_N100_C0.2_W1_8.csv,4,ALARM,SaiyanH_con,100,0.2,1,8,48,26,31,1255,20,0.456140351,0.565217391,0.504854369,9,6,3,0,0.6,1,0.75
,,,,,,,,50.44444444,,,,,0.375392591,0.439613527,0.404170197,,,,,0.536441799,0.814814815,0.642305038
