,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,MOEAD_CD,100,0.2,1,0,22,9,3,668,22,0.75,0.2903225806451613,0.4186046511627908,1,0,6,5,1.0,0.16666666666666666,0.2857142857142857
1,PROPERTY,pc,100,0.2,1,0,21,10,3,668,21,0.7692307692307693,0.3225806451612903,0.45454545454545453,2,0,6,4,1.0,0.3333333333333333,0.5
2,PROPERTY,pc_con,100,0.2,1,0,21,10,3,668,21,0.7692307692307693,0.3225806451612903,0.45454545454545453,2,0,6,4,1.0,0.3333333333333333,0.5
