,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1,type,avgnmi,score
0,DIARRHOEA,UpCM0,,,,,63,13,16,672,55,0.4482758620689655,0.19117647058823528,0.26804123711340205,10,9,5,4,0.5263157894736842,0.7142857142857143,0.6060606060606061,,1.0642590699460384,-2316.5458330647043
1,DIARRHOEA,UpCM1,,,,,62,13,15,673,55,0.4642857142857143,0.19117647058823528,0.27083333333333337,10,9,5,4,0.5263157894736842,0.7142857142857143,0.6060606060606061,,1.2143936297487123,-2317.4011138810115
2,DIARRHOEA,UpCM2,,,,,60,14,12,676,54,0.5384615384615384,0.20588235294117646,0.2978723404255319,9,7,7,5,0.5625,0.6428571428571429,0.6000000000000001,,0.9193507745957763,-2313.1132008997947
3,DIARRHOEA,UpCM3,,,,,61,13,12,676,55,0.52,0.19117647058823528,0.27956989247311825,9,7,7,5,0.5625,0.6428571428571429,0.6000000000000001,,1.3202818089753925,-2327.211617138869
4,DIARRHOEA,UpCM4,,,,,62,12,12,676,56,0.5,0.17647058823529413,0.2608695652173913,8,7,7,6,0.5333333333333333,0.5714285714285714,0.5517241379310344,,1.285462736164939,-2326.928340091262
5,DIARRHOEA,UpCM5,,,,,62,13,14,674,55,0.48148148148148145,0.19117647058823528,0.2736842105263158,9,9,5,5,0.5,0.6428571428571429,0.5625000000000001,,1.3487364083281612,-2331.0862936846383
6,DIARRHOEA,UpCM6,,,,,63,13,15,673,55,0.4642857142857143,0.19117647058823528,0.27083333333333337,9,9,5,5,0.5,0.6428571428571429,0.5625000000000001,,1.0359212956307957,-2315.987712515724
7,DIARRHOEA,UpCM7,,,,,62,14,14,674,54,0.5,0.20588235294117646,0.2916666666666667,10,8,6,4,0.5555555555555556,0.7142857142857143,0.6250000000000001,,1.0312871783097832,-2315.085368207751
8,DIARRHOEA,UpCM8,,,,,63,13,14,674,55,0.48148148148148145,0.19117647058823528,0.2736842105263158,9,8,6,5,0.5294117647058824,0.6428571428571429,0.5806451612903226,,0.9827946245686335,-2314.7456207025143
9,DIARRHOEA,UpCM9,,,,,64,12,14,674,56,0.46153846153846156,0.17647058823529413,0.25531914893617025,8,8,6,6,0.5,0.5714285714285714,0.5333333333333333,,0.9393339949002317,-2314.3882681290283
10,DIARRHOEA,UpCM10,,,,,63,12,13,675,56,0.48,0.17647058823529413,0.25806451612903225,8,7,7,6,0.5333333333333333,0.5714285714285714,0.5517241379310344,,0.8766164024872138,-2312.783335133248
11,DIARRHOEA,UpCM11,,,,,62,12,12,676,56,0.5,0.17647058823529413,0.2608695652173913,8,6,8,6,0.5714285714285714,0.5714285714285714,0.5714285714285714,,0.8690520902683312,-2311.8221354977845
12,DIARRHOEA,UpCM12,,,,,61,12,11,677,56,0.5217391304347826,0.17647058823529413,0.26373626373626374,8,5,9,6,0.6153846153846154,0.5714285714285714,0.5925925925925927,,0.8392455627831157,-2310.981657609793
13,DIARRHOEA,UpCM13,,,,,61,11,11,677,57,0.5,0.16176470588235295,0.24444444444444446,7,5,9,7,0.5833333333333334,0.5,0.5384615384615384,,0.8295012178633103,-2310.3215813265556
14,DIARRHOEA,pc_con,100.0,0.2,1.0,-2322.7042917185336,64,5,7,681,63,0.4166666666666667,0.07352941176470588,0.125,1,2,12,13,0.3333333333333333,0.07142857142857142,0.11764705882352941,,,
