,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1,type,avgnmi,score
0,DIARRHOEA,UpCM0,,,,,57,16,9,679,52,0.64,0.23529411764705882,0.34408602150537637,13,5,9,1,0.7222222222222222,0.9285714285714286,0.8125000000000001,,1.10530550738974,-2297.1930023508226
1,DIARRHOEA,UpCM1,,,,,60,14,10,678,54,0.5833333333333334,0.20588235294117646,0.3043478260869565,11,6,8,3,0.6470588235294118,0.7857142857142857,0.7096774193548386,,1.0436600588698872,-2288.1220932896313
2,DIARRHOEA,UpCM2,,,,,62,13,11,677,55,0.5416666666666666,0.19117647058823528,0.2826086956521739,10,7,7,4,0.5882352941176471,0.7142857142857143,0.6451612903225806,,0.9793286766889541,-2283.210027121644
3,DIARRHOEA,UpCM3,,,,,59,13,9,679,55,0.5909090909090909,0.19117647058823528,0.28888888888888886,11,4,10,3,0.7333333333333333,0.7857142857142857,0.7586206896551724,,1.0521077012729976,-2288.282551008501
4,DIARRHOEA,UpCM4,,,,,66,10,15,673,58,0.4,0.14705882352941177,0.21505376344086022,8,8,6,6,0.5,0.5714285714285714,0.5333333333333333,,0.6117691936114069,-2279.249661053715
5,DIARRHOEA,UpCM5,,,,,67,9,15,673,59,0.375,0.1323529411764706,0.19565217391304351,7,8,6,7,0.4666666666666667,0.5,0.4827586206896552,,0.5953458984257881,-2279.0735970518886
6,DIARRHOEA,UpCM6,,,,,67,9,15,673,59,0.375,0.1323529411764706,0.19565217391304351,7,8,6,7,0.4666666666666667,0.5,0.4827586206896552,,0.5755577101030974,-2278.244649252052
7,DIARRHOEA,UpCM7,,,,,64,10,13,675,58,0.43478260869565216,0.14705882352941177,0.2197802197802198,8,6,8,6,0.5714285714285714,0.5714285714285714,0.5714285714285714,,0.547534525500735,-2276.093555357006
8,DIARRHOEA,UpCM8,,,,,65,9,13,675,59,0.4090909090909091,0.1323529411764706,0.19999999999999998,7,6,8,7,0.5384615384615384,0.5,0.5185185185185186,,0.5168378482428372,-2276.0863090236044
9,DIARRHOEA,pc_con,100.0,0.2,1.0,-2304.388273306326,65,3,6,682,65,0.3333333333333333,0.04411764705882353,0.07792207792207792,0,0,14,14,0.0,0.0,0.0,,,
