,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1,type,Main_time,PDAG2DAG_Time,N_evaluations
0,ALARM,UpCM,100,0.2,1,-2281.6588130866103,34,20,14,1272,26,0.5882352941176471,0.43478260869565216,0.5,9,8,1,0,0.5294117647058824,1.0,0.6923076923076924,Normal,70.48689270019531,9.97070837020874,1000
1,ALARM,pc_con,100,0.2,1,-2439.4747966930177,36,11,8,1278,35,0.5789473684210527,0.2391304347826087,0.3384615384615385,1,0,9,8,1.0,0.1111111111111111,0.19999999999999998,,0.39721179008483887,,
