,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,pcMy,100,0.2,2,-3536.194161614833,20,13,5,666,18,0.7222222222222222,0.41935483870967744,0.5306122448979592,4,2,10,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
1,PROPERTY,pc_con,100,0.2,2,-3625.542907730277,22,9,4,667,22,0.6923076923076923,0.2903225806451613,0.4090909090909091,1,0,12,5,1.0,0.16666666666666666,0.2857142857142857
2,PROPERTY,ges_con,100,0.2,2,-3945.3587251880226,28,4,1,670,27,0.8,0.12903225806451613,0.2222222222222222,3,1,11,3,0.75,0.5,0.6
3,PROPERTY,mahc_con,100,0.2,2,-3596.5617697020607,24,10,6,665,21,0.625,0.3225806451612903,0.425531914893617,2,1,11,4,0.6666666666666666,0.3333333333333333,0.4444444444444444
4,PROPERTY,SaiyanH_con,100,0.2,2,-inf,36,15,25,646,16,0.375,0.4838709677419355,0.4225352112676056,4,10,2,2,0.2857142857142857,0.6666666666666666,0.4
