,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,pcMy,100,0.5,1,-3612.1802823142366,21,16,10,661,15,0.6153846153846154,0.5161290322580645,0.5614035087719298,14,7,9,2,0.6666666666666666,0.875,0.7567567567567567
1,PROPERTY,pc_con,100,0.5,1,-3622.998350287966,19,12,2,669,19,0.8571428571428571,0.3870967741935484,0.5333333333333333,9,0,16,7,1.0,0.5625,0.72
2,PROPERTY,ges_con,100,0.5,1,-3759.191542231729,24,8,1,670,23,0.8888888888888888,0.25806451612903225,0.39999999999999997,8,1,15,8,0.8888888888888888,0.5,0.64
3,PROPERTY,mahc_con,100,0.5,1,-3632.470114928355,23,10,4,667,21,0.7142857142857143,0.3225806451612903,0.4444444444444444,8,1,15,8,0.8888888888888888,0.5,0.64
4,PROPERTY,SaiyanH_con,100,0.5,1,-3800.376611967652,35,16,24,647,15,0.4,0.5161290322580645,0.4507042253521127,12,15,1,4,0.4444444444444444,0.75,0.5581395348837209
