,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,pcMy,200,0.2,1,-7090.5817995992875,21,12,8,663,19,0.6,0.3870967741935484,0.47058823529411764,5,0,6,1,1.0,0.8333333333333334,0.9090909090909091
1,PROPERTY,pc_con,200,0.2,1,-7103.599710324836,21,12,7,664,19,0.631578947368421,0.3870967741935484,0.48000000000000004,4,0,6,2,1.0,0.6666666666666666,0.8
2,PROPERTY,ges_con,200,0.2,1,-7972.923628283697,27,4,0,671,27,1.0,0.12903225806451613,0.2285714285714286,3,0,6,3,1.0,0.5,0.6666666666666666
3,PROPERTY,mahc_con,200,0.2,1,-7142.781185077113,25,9,8,663,22,0.5294117647058824,0.2903225806451613,0.375,1,0,6,5,1.0,0.16666666666666666,0.2857142857142857
4,PROPERTY,SaiyanH_con,200,0.2,1,-7206.565433769578,29,14,17,654,17,0.45161290322580644,0.45161290322580644,0.45161290322580644,3,5,1,3,0.375,0.5,0.42857142857142855
