,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,pcMy,50,0.2,1,-1866.9334259102552,23,8,3,668,23,0.7272727272727273,0.25806451612903225,0.38095238095238093,4,0,6,2,1.0,0.6666666666666666,0.8
1,PROPERTY,pc_con,50,0.2,1,-1883.6601892885267,27,4,3,668,27,0.5714285714285714,0.12903225806451613,0.2105263157894737,0,0,6,6,0.0,0.0,0.0
2,PROPERTY,ges_con,50,0.2,1,-2010.7566804321132,31,6,7,664,25,0.46153846153846156,0.1935483870967742,0.2727272727272727,6,6,0,0,0.5,1.0,0.6666666666666666
3,PROPERTY,mahc_con,50,0.2,1,-1867.545877104862,29,4,6,665,27,0.4,0.12903225806451613,0.1951219512195122,0,0,6,6,0.0,0.0,0.0
4,PROPERTY,SaiyanH_con,50,0.2,1,-inf,33,15,22,649,16,0.40540540540540543,0.4838709677419355,0.4411764705882353,6,5,1,0,0.5454545454545454,1.0,0.7058823529411764
