,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,pcMy,200,0.2,1,-7152.5073058576445,20,13,8,663,18,0.6190476190476191,0.41935483870967744,0.5,6,1,5,0,0.8571428571428571,1.0,0.923076923076923
1,PROPERTY,pc_con,200,0.2,1,-7193.388583124992,22,10,7,664,21,0.5882352941176471,0.3225806451612903,0.41666666666666663,3,0,6,3,1.0,0.5,0.6666666666666666
2,PROPERTY,ges_con,200,0.2,1,-7259.836185879569,25,9,7,664,22,0.5625,0.2903225806451613,0.3829787234042554,4,0,6,2,1.0,0.6666666666666666,0.8
3,PROPERTY,mahc_con,200,0.2,1,-7125.458342345374,22,12,6,665,19,0.6666666666666666,0.3870967741935484,0.4897959183673469,4,0,6,2,1.0,0.6666666666666666,0.8
4,PROPERTY,SaiyanH_con,200,0.2,1,-inf,33,13,21,650,18,0.38235294117647056,0.41935483870967744,0.39999999999999997,5,5,1,1,0.5,0.8333333333333334,0.625
