Source.Name,Column1,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
Results_PROPERTY_N100_C0.2_W1_5.csv,0,PROPERTY,pcMy,100,0.2,1,-3616.970554,23,9,6,665,22,0.6,0.290322581,0.391304348,5,1,5,1,0.833333333,0.833333333,0.833333333
Results_PROPERTY_N100_C0.2_W1_5.csv,1,PROPERTY,pc_con,100,0.2,1,-3622.78063,22,9,5,666,22,0.642857143,0.290322581,0.4,5,0,6,1,1,0.833333333,0.909090909
Results_PROPERTY_N100_C0.2_W1_5.csv,2,PROPERTY,ges_con,100,0.2,1,-3664.582224,25,8,4,667,23,0.666666667,0.258064516,0.372093023,5,0,6,1,1,0.833333333,0.909090909
Results_PROPERTY_N100_C0.2_W1_5.csv,3,PROPERTY,mahc_con,100,0.2,1,-3635.619508,31,4,11,660,27,0.266666667,0.129032258,0.173913043,2,0,6,4,1,0.333333333,0.5
Results_PROPERTY_N100_C0.2_W1_5.csv,4,PROPERTY,SaiyanH_con,100,0.2,1,-3737.830402,36,12,24,647,19,0.333333333,0.387096774,0.358208955,5,5,1,1,0.5,0.833333333,0.625
Results_PROPERTY_N100_C0.2_W1_6.csv,0,PROPERTY,pcMy,100,0.2,1,-3636.074166,26,6,6,665,25,0.5,0.193548387,0.279069767,1,1,5,5,0.5,0.166666667,0.25
Results_PROPERTY_N100_C0.2_W1_6.csv,1,PROPERTY,pc_con,100,0.2,1,-3643.313322,24,7,4,667,24,0.636363636,0.225806452,0.333333333,2,0,6,4,1,0.333333333,0.5
Results_PROPERTY_N100_C0.2_W1_6.csv,2,PROPERTY,ges_con,100,0.2,1,-3888.941215,27,4,0,671,27,1,0.129032258,0.228571429,3,0,6,3,1,0.5,0.666666667
Results_PROPERTY_N100_C0.2_W1_6.csv,3,PROPERTY,mahc_con,100,0.2,1,-3637.019718,26,7,6,665,24,0.538461538,0.225806452,0.318181818,2,0,6,4,1,0.333333333,0.5
Results_PROPERTY_N100_C0.2_W1_6.csv,4,PROPERTY,SaiyanH_con,100,0.2,1,-3644.159157,32,14,20,651,17,0.411764706,0.451612903,0.430769231,3,6,0,3,0.333333333,0.5,0.4
Results_PROPERTY_N100_C0.2_W1_7.csv,0,PROPERTY,pcMy,100,0.2,1,-3621.948146,23,11,8,663,20,0.578947368,0.35483871,0.44,6,2,4,0,0.75,1,0.857142857
Results_PROPERTY_N100_C0.2_W1_7.csv,1,PROPERTY,pc_con,100,0.2,1,-3651.591426,25,7,7,664,24,0.5,0.225806452,0.311111111,3,0,6,3,1,0.5,0.666666667
Results_PROPERTY_N100_C0.2_W1_7.csv,2,PROPERTY,ges_con,100,0.2,1,-3948.973324,28,3,0,671,28,1,0.096774194,0.176470588,2,0,6,4,1,0.333333333,0.5
Results_PROPERTY_N100_C0.2_W1_7.csv,3,PROPERTY,mahc_con,100,0.2,1,-3638.896624,27,7,8,663,24,0.466666667,0.225806452,0.304347826,1,0,6,5,1,0.166666667,0.285714286
Results_PROPERTY_N100_C0.2_W1_7.csv,4,PROPERTY,SaiyanH_con,100,0.2,1,-3712.976213,34,15,21,650,16,0.416666667,0.483870968,0.447761194,4,5,1,2,0.444444444,0.666666667,0.533333333
Results_PROPERTY_N100_C0.2_W1_8.csv,0,PROPERTY,pcMy,100,0.2,1,-3646.524297,22,9,6,665,22,0.6,0.290322581,0.391304348,5,0,6,1,1,0.833333333,0.909090909
Results_PROPERTY_N100_C0.2_W1_8.csv,1,PROPERTY,pc_con,100,0.2,1,-3664.02054,24,7,5,666,24,0.583333333,0.225806452,0.325581395,2,0,6,4,1,0.333333333,0.5
Results_PROPERTY_N100_C0.2_W1_8.csv,2,PROPERTY,ges_con,100,0.2,1,-4010.303074,29,2,1,670,29,0.666666667,0.064516129,0.117647059,2,0,6,4,1,0.333333333,0.5
Results_PROPERTY_N100_C0.2_W1_8.csv,3,PROPERTY,mahc_con,100,0.2,1,-3614.282873,23,10,5,666,21,0.666666667,0.322580645,0.434782609,2,0,6,4,1,0.333333333,0.5
Results_PROPERTY_N100_C0.2_W1_8.csv,4,PROPERTY,SaiyanH_con,100,0.2,1,-3637.221364,35,11,21,650,20,0.34375,0.35483871,0.349206349,4,3,3,2,0.571428571,0.666666667,0.615384615
,,,,,,,,31.66666667,,,,,0.410474229,0.448028674,0.428059614,,,,,0.494356261,0.722222222,0.58517501
