,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,FORMED,MOEAD_CD,100,0.2,1,5,115,25,17,7501,113,0.5952380952380952,0.18115942028985507,0.2777777777777778,7,1,27,21,0.875,0.25,0.3888888888888889
1,FORMED,pc,100,0.2,1,5,113,26,15,7503,112,0.6341463414634146,0.18840579710144928,0.29050279329608936,6,0,28,22,1.0,0.21428571428571427,0.35294117647058826
2,FORMED,pc_con,100,0.2,1,5,113,26,15,7503,112,0.6341463414634146,0.18840579710144928,0.29050279329608936,6,0,28,22,1.0,0.21428571428571427,0.35294117647058826
