,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1score,avgnmi,parametername,parametervalue,Con_F1,score
0,FORMED,UpCM0,,,,,117,34,26,7492,104,0.5666666666666667,0.2463768115942029,0.3434343434343434,13,12,16,15,0.52,0.4642857142857143,,0.14842485858795193,NumofEvaluation,1000,0.49056603773584906,-6271.2247546773715
1,FORMED,UpCM1,,,,,124,26,33,7485,112,0.4406779661016949,0.18840579710144928,0.2639593908629442,10,11,17,18,0.47619047619047616,0.35714285714285715,,0.11993070729260515,NumofEvaluation,1000,0.40816326530612246,-6268.464823924716
2,FORMED,UpCM2,,,,,118,33,30,7488,105,0.5238095238095238,0.2391304347826087,0.32835820895522383,14,12,16,14,0.5384615384615384,0.5,,0.11282763288518852,NumofEvaluation,1000,0.5185185185185186,-6249.829417859069
3,FORMED,UpCM3,,,,,116,42,33,7485,96,0.56,0.30434782608695654,0.3943661971830986,20,19,9,8,0.5128205128205128,0.7142857142857143,,0.0956711327834399,NumofEvaluation,1000,0.5970149253731343,-6234.647255571607
4,FORMED,UpCM4,,,,,114,42,31,7487,96,0.5753424657534246,0.30434782608695654,0.3981042654028436,20,17,11,8,0.5405405405405406,0.7142857142857143,,0.09940101862773568,NumofEvaluation,1000,0.6153846153846154,-6235.249812129724
5,FORMED,UpCM5,,,,,116,41,33,7485,97,0.5540540540540541,0.2971014492753623,0.38679245283018865,20,18,10,8,0.5263157894736842,0.7142857142857143,,0.09759969700932805,NumofEvaluation,1000,0.6060606060606061,-6234.906214066353
6,FORMED,UpCM6,,,,,117,42,34,7484,96,0.5526315789473685,0.30434782608695654,0.3925233644859813,20,20,8,8,0.5,0.7142857142857143,,0.0935390108452176,NumofEvaluation,1000,0.588235294117647,-6234.465870000662
7,FORMED,UpCM7,,,,,120,35,33,7485,103,0.5147058823529411,0.2536231884057971,0.33980582524271846,15,16,12,13,0.4838709677419355,0.5357142857142857,,0.1081267488985158,NumofEvaluation,1000,0.5084745762711865,-6236.068236764847
8,FORMED,UpCM8,,,,,120,34,33,7485,104,0.5074626865671642,0.2463768115942029,0.33170731707317075,14,15,13,14,0.4827586206896552,0.5,,0.08658885540193258,NumofEvaluation,1000,0.49122807017543857,-6231.606577542394
9,FORMED,UpCM9,,,,,120,34,33,7485,104,0.5074626865671642,0.2463768115942029,0.33170731707317075,14,15,13,14,0.4827586206896552,0.5,,0.08623406928146336,NumofEvaluation,1000,0.49122807017543857,-6231.506492850608
10,FORMED,UpCM10,,,,,114,40,31,7487,98,0.5633802816901409,0.2898550724637681,0.3827751196172249,19,15,13,9,0.5588235294117647,0.6785714285714286,,0.08318493491967549,NumofEvaluation,1000,0.6129032258064516,-6231.209939000546
11,FORMED,UpCM11,,,,,119,34,32,7486,104,0.5151515151515151,0.2463768115942029,0.33333333333333337,14,14,14,14,0.5,0.5,,0.08889682256538241,NumofEvaluation,1000,0.5,-6232.0963400732135
12,FORMED,UpCM12,,,,,113,41,31,7487,97,0.5694444444444444,0.2971014492753623,0.3904761904761904,20,15,13,8,0.5714285714285714,0.7142857142857143,,0.08090484256313764,NumofEvaluation,1000,0.634920634920635,-6231.153662012925
13,FORMED,UpCM13,,,,,117,37,33,7485,101,0.5285714285714286,0.26811594202898553,0.35576923076923084,17,15,13,11,0.53125,0.6071428571428571,,0.07859158928666793,NumofEvaluation,1000,0.5666666666666667,-6229.535928517628
14,FORMED,UpCM14,,,,,118,36,33,7485,102,0.5217391304347826,0.2608695652173913,0.3478260869565218,16,15,13,12,0.5161290322580645,0.5714285714285714,,0.07972524337842736,NumofEvaluation,1000,0.5423728813559322,-6230.520432030941
15,FORMED,UpCM15,,,,,118,37,34,7484,101,0.5211267605633803,0.26811594202898553,0.354066985645933,17,16,12,11,0.5151515151515151,0.6071428571428571,,0.07788268227609811,NumofEvaluation,1000,0.5573770491803278,-6228.903951284682
