,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,FORMED,MOEAD_CD,50,0.2,1,1,126,21,22,7496,117,0.4883720930232558,0.15217391304347827,0.23204419889502761,9,1,27,19,0.9,0.32142857142857145,0.4736842105263158
1,FORMED,pc,50,0.2,1,1,131,15,21,7497,123,0.4166666666666667,0.10869565217391304,0.1724137931034483,4,0,28,24,1.0,0.14285714285714285,0.25
2,FORMED,pc_con,50,0.2,1,1,131,15,21,7497,123,0.4166666666666667,0.10869565217391304,0.1724137931034483,4,0,28,24,1.0,0.14285714285714285,0.25
