,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,MOEAD_CD,200,0.2,1,3,21,10,6,665,21,0.625,0.3225806451612903,0.425531914893617,2,0,6,4,1.0,0.3333333333333333,0.5
1,PROPERTY,pc,200,0.2,1,3,23,8,6,665,23,0.5714285714285714,0.25806451612903225,0.35555555555555557,0,0,6,6,0.0,0.0,0.0
2,PROPERTY,pc_con,200,0.2,1,3,23,8,6,665,23,0.5714285714285714,0.25806451612903225,0.35555555555555557,0,0,6,6,0.0,0.0,0.0
