,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,PROPERTY,MOEAD_CD,200,0.2,1,6,21,10,4,667,21,0.7142857142857143,0.3225806451612903,0.4444444444444444,4,0,6,2,1.0,0.6666666666666666,0.8
1,PROPERTY,pc,200,0.2,1,6,20,11,4,667,20,0.7333333333333333,0.3548387096774194,0.47826086956521735,5,0,6,1,1.0,0.8333333333333334,0.9090909090909091
2,PROPERTY,pc_con,200,0.2,1,6,20,11,4,667,20,0.7333333333333333,0.3548387096774194,0.47826086956521735,5,0,6,1,1.0,0.8333333333333334,0.9090909090909091
