,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,FORMED,pcMy,100,0.2,1,-6208.937344877864,113,40,30,7488,98,0.5714285714285714,0.2898550724637681,0.38461538461538464,24,8,20,4,0.75,0.8571428571428571,0.7999999999999999
1,FORMED,pc_con,100,0.2,1,-6335.574590006008,122,23,22,7496,115,0.5111111111111111,0.16666666666666666,0.25136612021857924,9,0,28,19,1.0,0.32142857142857145,0.4864864864864865
2,FORMED,ges_con,100,0.2,1,-6151.988254173757,117,47,37,7481,91,0.5595238095238095,0.34057971014492755,0.4234234234234235,19,2,26,9,0.9047619047619048,0.6785714285714286,0.7755102040816326
3,FORMED,mahc_con,100,0.2,1,-6162.331687915503,113,43,32,7486,95,0.5733333333333334,0.3115942028985507,0.403755868544601,14,1,27,14,0.9333333333333333,0.5,0.6511627906976745
4,FORMED,SaiyanH_con,100,0.2,1,-inf,213,38,136,7382,100,0.21839080459770116,0.2753623188405797,0.24358974358974358,20,16,12,8,0.5555555555555556,0.7142857142857143,0.6250000000000001
