,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,FORMED,pcMy,100,0.2,1,-6319.818530693235,120,37,33,7485,101,0.5285714285714286,0.26811594202898553,0.35576923076923084,21,15,13,7,0.5833333333333334,0.75,0.6562499999999999
1,FORMED,pc_con,100,0.2,1,-6351.403058404861,115,27,18,7500,111,0.6,0.1956521739130435,0.29508196721311475,11,0,28,17,1.0,0.39285714285714285,0.5641025641025641
2,FORMED,ges_con,100,0.2,1,-6249.160641188995,124,35,38,7480,103,0.4794520547945205,0.2536231884057971,0.3317535545023697,16,0,28,12,1.0,0.5714285714285714,0.7272727272727273
3,FORMED,mahc_con,100,0.2,1,-6253.118667728932,121,32,35,7483,106,0.47761194029850745,0.2318840579710145,0.3121951219512195,14,1,27,14,0.9333333333333333,0.5,0.6511627906976745
4,FORMED,SaiyanH_con,100,0.2,1,-inf,182,42,105,7413,96,0.2857142857142857,0.30434782608695654,0.29473684210526313,21,12,16,7,0.6363636363636364,0.75,0.6885245901639345
