,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,FORMED,pcMy,100,0.2,2,-6182.104093306979,129,35,46,7472,103,0.43209876543209874,0.2536231884057971,0.31963470319634707,21,24,32,7,0.4666666666666667,0.75,0.5753424657534245
1,FORMED,pc_con,100,0.2,2,-6292.607300822196,121,19,24,7494,119,0.4418604651162791,0.13768115942028986,0.20994475138121546,6,0,56,22,1.0,0.21428571428571427,0.35294117647058826
2,FORMED,ges_con,100,0.2,2,-6677.492054439829,123,16,3,7515,122,0.8421052631578947,0.11594202898550725,0.20382165605095542,16,2,54,12,0.8888888888888888,0.5714285714285714,0.6956521739130435
3,FORMED,mahc_con,100,0.2,2,-6149.2615668852595,113,36,29,7489,102,0.5538461538461539,0.2608695652173913,0.35467980295566504,13,1,55,15,0.9285714285714286,0.4642857142857143,0.6190476190476191
4,FORMED,SaiyanH_con,100,0.2,2,-inf,226,36,148,7370,102,0.1956521739130435,0.2608695652173913,0.2236024844720497,21,38,18,7,0.3559322033898305,0.75,0.4827586206896552
