,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,FORMED,pcMy,200,0.2,1,-12218.401288027044,115,41,44,7474,97,0.4823529411764706,0.2971014492753623,0.3677130044843049,22,14,14,6,0.6111111111111112,0.7857142857142857,0.6875000000000001
1,FORMED,pc_con,200,0.2,1,-12379.839285361859,116,27,31,7487,111,0.46551724137931033,0.1956521739130435,0.2755102040816327,9,0,28,19,1.0,0.32142857142857145,0.4864864864864865
2,FORMED,ges_con,200,0.2,1,-12226.760329713685,111,46,35,7483,92,0.5679012345679012,0.3333333333333333,0.42009132420091316,18,0,28,10,1.0,0.6428571428571429,0.782608695652174
3,FORMED,mahc_con,200,0.2,1,-12299.502221736884,106,46,31,7487,92,0.5974025974025974,0.3333333333333333,0.42790697674418604,18,0,28,10,1.0,0.6428571428571429,0.782608695652174
4,FORMED,SaiyanH_con,200,0.2,1,-inf,174,50,114,7404,88,0.3048780487804878,0.36231884057971014,0.3311258278145695,23,11,17,5,0.6764705882352942,0.8214285714285714,0.7419354838709677
