,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1,type,Main_time,PDAG2DAG_Time,N_evaluations
0,ASIA,UpCM,100,0.2,1,-334.9522070476247,5,3,1,47,5,0.75,0.375,0.5,2,0,2,0,1.0,1.0,1.0,Normal,1.8817853927612305,0.24835944175720215,16
1,ASIA,pc_con,100,0.2,1,-348.20976828268647,8,0,2,46,8,0.0,0.0,0.0,0,0,2,2,0.0,0.0,0.0,,0.01600193977355957,,
