,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1,type,Main_time,PDAG2DAG_Time,N_evaluations
0,ASIA,UpCM,100,0.2,1,-377.00169803291675,7,3,3,45,5,0.5,0.375,0.42857142857142855,2,2,0,0,0.5,1.0,0.6666666666666666,Normal,2.129936456680298,0.27263307571411133,16
1,ASIA,pc_con,100,0.2,1,-371.13683533511306,9,0,3,45,8,0.0,0.0,0.0,0,0,2,2,0.0,0.0,0.0,,0.020999670028686523,,
