,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
0,ASIA,pcMy,100,0.1,1,-374.242538576894,9,0,4,44,8,0.0,0.0,0,0,1,0,1,0.0,0.0,0
1,ASIA,pc_con,100,0.1,1,-374.36174791177604,8,0,3,45,8,0.0,0.0,0,0,0,1,1,0.0,0.0,0
2,ASIA,ges_con,100,0.1,1,-359.52306224984005,3,5,1,47,3,0.8333333333333334,0.625,0.7142857142857143,1,0,1,0,1.0,1.0,1.0
3,ASIA,mahc_con,100,0.1,1,-363.9170647400419,9,1,5,43,7,0.16666666666666666,0.125,0.14285714285714288,1,0,1,0,1.0,1.0,1.0
4,ASIA,SaiyanH_con,100,0.1,1,-364.5220465523551,7,2,3,45,6,0.4,0.25,0.3076923076923077,0,0,1,1,0.0,0.0,0
