,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1,type,Main_time,PDAG2DAG_Time,N_evaluations
0,SPORTS,UpCM,100,0.2,1,-1325.2651939102136,8,7,2,55,8,0.7777777777777778,0.4666666666666667,0.5833333333333334,3,1,2,0,0.75,1.0,0.8571428571428571,Normal,2.1641693115234375,0.20052146911621094,64
1,SPORTS,pc_con,100,0.2,1,-1331.3570337095343,12,3,1,56,12,0.75,0.2,0.31578947368421056,1,0,3,2,1.0,0.3333333333333333,0.5,,0.026001691818237305,,
